GPIO,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
0,NONE,SPI0_RX,UART0_TX,I2C0_SDA,PWM0_A,SIO,PIO0,PIO1,PIO2,QMI_CS1n,USB_OVCUR_DET,NONE
1,NONE,SPI0_CSn,UART0_RX,I2C0_SCL,PWM0_B,SIO,PIO0,PIO1,PIO2,TRACECLK,USB_VBUS_DET,NONE
2,NONE,SPI0_SCK,UART0_CTS,I2C1_SDA,PWM1_A,SIO,PIO0,PIO1,PIO2,TRACEDATA0,USB_VBUS_EN,UART0_TX
3,NONE,SPI0_TX,UART0_RTS,I2C1_SCL,PWM1_B,SIO,PIO0,PIO1,PIO2,TRACEDATA1,USB_OVCUR_DET,UART0_RX
4,NONE,SPI0_RX,UART1_TX,I2C0_SDA,PWM2_A,SIO,PIO0,PIO1,PIO2,TRACEDATA2,USB_VBUS_DET,NONE
5,NONE,SPI0_CSn,UART1_RX,I2C0_SCL,PWM2_B,SIO,PIO0,PIO1,PIO2,TRACEDATA3,USB_VBUS_EN,NONE
6,NONE,SPI0_SCK,UART1_CTS,I2C1_SDA,PWM3_A,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,UART1_TX
7,NONE,SPI0_TX,UART1_RTS,I2C1_SCL,PWM3_B,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_DET,UART1_RX
8,NONE,SPI1_RX,UART1_TX,I2C0_SDA,PWM4_A,SIO,PIO0,PIO1,PIO2,QMI_CS1n,USB_VBUS_EN,NONE
9,NONE,SPI1_CSn,UART1_RX,I2C0_SCL,PWM4_B,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,NONE
10,NONE,SPI1_SCK,UART1_CTS,I2C1_SDA,PWM5_A,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_DET,UART1_TX
11,NONE,SPI1_TX,UART1_RTS,I2C1_SCL,PWM5_B,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_EN,UART1_RX
12,HSTX,SPI1_RX,UART0_TX,I2C0_SDA,PWM6_A,SIO,PIO0,PIO1,PIO2,CLOCK_GPIN0,USB_OVCUR_DET,NONE
13,HSTX,SPI1_CSn,UART0_RX,I2C0_SCL,PWM6_B,SIO,PIO0,PIO1,PIO2,CLOCK_GPOUT0,USB_VBUS_DET,NONE
14,HSTX,SPI1_SCK,UART0_CTS,I2C1_SDA,PWM7_A,SIO,PIO0,PIO1,PIO2,CLOCK_GPIN1,USB_VBUS_EN,UART0_
15,HSTX,SPI1_TX,UART0_RTS,I2C1_SCL,PWM7_B,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,UART0_
16,HSTX,SPI0_RX,UART0_TX,I2C0_SDA,PWM0_A,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_DET,NONE
17,HSTX,SPI0_CSn,UART0_RX,I2C0_SCL,PWM0_B,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_EN,NONE
18,HSTX,SPI0_SCK,UART0_CTS,I2C1_SDA,PWM1_A,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,UART0_TX
19,HSTX,SPI0_TX,UART0_RTS,I2C1_SCL,PWM1_B,SIO,PIO0,PIO1,PIO2,QMI_CS1n,USB_VBUS_DET,UART0_
20,NONE,SPI0_RX,UART1_TX,I2C0_SDA,PWM2_A,SIO,PIO0,PIO1,PIO2,CLOCK_GPIN0,USB_VBUS_EN,NONE
21,NONE,SPI0_CSn,UART1_RX,I2C0_SCL,PWM2_B,SIO,PIO0,PIO1,PIO2,CLOCK_GPOUT0,USB_OVCUR_DET,NONE
22,NONE,SPI0_SCK,UART1_CTS,I2C1_SDA,PWM3_A,SIO,PIO0,PIO1,PIO2,CLOCK_GPIN1,USB_VBUS_DET,UART1_TX
23,NONE,SPI0_TX,UART1_RTS,I2C1_SCL,PWM3_B,SIO,PIO0,PIO1,PIO2,CLOCK_GPOUT1,USB_VBUS_EN,UART1_RX
24,NONE,SPI1_RX,UART1_TX,I2C0_SDA,PWM4_A,SIO,PIO0,PIO1,PIO2,CLOCK_GPOUT2,USB_OVCUR_DET,NONE
25,NONE,SPI1_CSn,UART1_RX,I2C0_SCL,PWM4_B,SIO,PIO0,PIO1,PIO2,CLOCK_GPOUT3,USB_VBUS_DET,NONE
26,NONE,SPI1_SCK,UART1_CTS,I2C1_SDA,PWM5_A,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_EN,UART1_TX
27,NONE,SPI1_TX,UART1_RTS,I2C1_SCL,PWM5_B,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,UART1_RX
28,NONE,SPI1_RX,UART0_TX,I2C0_SDA,PWM6_A,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_DET,NONE
29,NONE,SPI1_CSn,UART0_RX,I2C0_SCL,PWM6_B,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_EN,NONE
30,NONE,SPI1_SCK,UART0_CTS,I2C1_SDA,PWM7_A,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,UART0_TX
31,NONE,SPI1_TX,UART0_RTS,I2C1_SCL,PWM7_B,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_DET,UART0_RX
32,NONE,SPI0_RX,UART0_TX,I2C0_SDA,PWM8_A,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_EN,NONE
33,NONE,SPI0_CSn,UART0_RX,I2C0_SCL,PWM8_B,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,NONE
34,NONE,SPI0_SCK,UART0_CTS,I2C1_SDA,PWM9_A,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_DET,UART0_TX
35,NONE,SPI0_TX,UART0_RTS,I2C1_SCL,PWM9_B,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_EN,UART0_RX
36,NONE,SPI0_RX,UART1_TX,I2C0_SDA,PWM10_A,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,NONE
37,NONE,SPI0_CSn,UART1_RX,I2C0_SCL,PWM10_B,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_DET,NONE
38,NONE,SPI0_SCK,UART1_CTS,I2C1_SDA,PWM11_A,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_EN,UART1_TX
39,NONE,SPI0_TX,UART1_RTS,I2C1_SCL,PWM11_B,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,UART1_RX
40,NONE,SPI1_RX,UART1_TX,I2C0_SDA,PWM8_A,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_DET,NONE
41,NONE,SPI1_CSn,UART1_RX,I2C0_SCL,PWM8_B,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_EN,NONE
42,NONE,SPI1_SCK,UART1_CTS,I2C1_SDA,PWM9_A,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,UART1_TX
43,NONE,SPI1_TX,UART1_RTS,I2C1_SCL,PWM9_B,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_DET,UART1_RX
44,NONE,SPI1_RX,UART0_TX,I2C0_SDA,PWM10_A,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_EN,NONE
45,NONE,SPI1_CSn,UART0_RX,I2C0_SCL,PWM10_B,SIO,PIO0,PIO1,PIO2,NONE,USB_OVCUR_DET,NONE
46,NONE,SPI1_SCK,UART0_CTS,I2C1_SDA,PWM11_A,SIO,PIO0,PIO1,PIO2,NONE,USB_VBUS_DET,UART0_TX
47,NONE,SPI1_TX,UART0_RTS,I2C1_SCL,PWM11_B,SIO,PIO0,PIO1,PIO2,QMI_CS1n,USB_VBUS_EN,UART0_RX